id,title,authors,year,venue,search_string,v1_decision,v1_reason
149,Use of ChatGPT as an Assistant in the End-to-End Test Script Generation for Android Apps,"Garc\'{\i}a, Boni and Leotta, Maurizio and Ricca, Filippo and Whitehead, Jim",2024,"Proceedings of the 15th ACM International Workshop on Automating Test Case Design, Selection and Evaluation",String A,INCLUDE,"Đáp ứng IC-E: Nội dung bài báo phù hợp với phạm vi nghiên cứu đã xác định và cho thấy khả năng đóng góp dữ liệu, phương pháp hoặc kết quả thực nghiệm liên quan đến quy trình phân tích yêu cầu và kiểm thử phần mềm. Vì vậy bài báo được giữ lại."
150,First Experiments on Automated Execution of Gherkin Test Specifications with Collaborating LLM Agents,"Bergsmann, Severin and Schmidt, Alexander and Fischer, Stefan and Ramler, Rudolf",2024,"Proceedings of the 15th ACM International Workshop on Automating Test Case Design, Selection and Evaluation",String B,INCLUDE,"Đáp ứng IC-L và IC-E: Công trình nghiên cứu một vấn đề thuộc lĩnh vực kỹ nghệ phần mềm và có liên hệ với chủ đề khảo sát. Dựa trên thông tin hiện có, bài báo đáp ứng các tiêu chí lựa chọn ban đầu và được chuyển sang bước đánh giá chuyên sâu."
151,LLMs and Prompting for Unit Test Generation: A Large-Scale Evaluation,"Ouedraogo, Wendkuuni C. and Kabore, Kader and Tian, Haoye and Song, Yewei and Koyuncu, Anil and Klein, Jacques and Lo, David and Bissyande, Tegawende F.",2024,Proceedings of the 39th IEEE/ACM International Conference on Automated Software Engineering,String C,INCLUDE,"Đáp ứng IC-L và IC-E: Bài báo có nội dung liên quan trực tiếp đến kỹ nghệ yêu cầu, kiểm thử phần mềm hoặc chuyển đổi yêu cầu thành các hiện vật phục vụ phát triển và kiểm thử. Thông tin từ tiêu đề và nguồn xuất bản cho thấy nghiên cứu có đóng góp kỹ thuật phù hợp với mục tiêu khảo sát nên được giữ lại để đánh giá chi tiết hơn."
152,HITS: High-coverage LLM-based Unit Test Generation via Method Slicing,"Wang, Zejun and Liu, Kaibo and Li, Ge and Jin, Zhi",2024,Proceedings of the 39th IEEE/ACM International Conference on Automated Software Engineering,String A,INCLUDE,"Đáp ứng IC-P, IC-L và IC-E: Công trình tập trung vào các phương pháp, công cụ hoặc quy trình hỗ trợ phát triển phần mềm, đặc biệt trong các hoạt động liên quan đến yêu cầu, kiểm thử hoặc tự động hóa. Nghiên cứu có tiềm năng cung cấp bằng chứng hữu ích cho việc trả lời câu hỏi nghiên cứu nên được đưa vào vòng tiếp theo."
153,On the Evaluation of Large Language Models in Unit Test Generation,"Yang, Lin and Yang, Chen and Gao, Shutao and Wang, Weijing and Wang, Bo and Zhu, Qihao and Chu, Xiao and Zhou, Jianyi and Liang, Guangtai and Wang, Qianxiang and Chen, Junjie",2024,Proceedings of the 39th IEEE/ACM International Conference on Automated Software Engineering,String C,INCLUDE,"Đáp ứng IC-L đến IC-E: Nghiên cứu đề cập đến các kỹ thuật trong software engineering có liên hệ với requirements engineering, test generation, user stories, acceptance testing hoặc các hướng tiếp cận tương tự. Mức độ liên quan được đánh giá là đủ cao để tiếp tục xem xét ở giai đoạn full-text review."
154,NLPLego: Assembling Test Generation for Natural Language Processing Applications,"Ji, Pin and Feng, Yang and Zhang, Ruohao and Xue, Ruichen and Zhang, Yichi and Huang, Weitao and Liu, Jia and Zhao, Zhihong",2025,ACM Trans. Softw. Eng. Methodol.,String B,INCLUDE,"Đáp ứng IC-E: Nội dung bài báo phù hợp với phạm vi nghiên cứu đã xác định và cho thấy khả năng đóng góp dữ liệu, phương pháp hoặc kết quả thực nghiệm liên quan đến quy trình phân tích yêu cầu và kiểm thử phần mềm. Vì vậy bài báo được giữ lại."
155,LSPAI: An IDE Plugin for LLM-Powered Multi-Language Unit Test Generation with Language Server Protocol,"Go, Gwihwan and Zhou, Chijin and Zhang, Quan and Jiang, Yu and Wei, Zhao",2025,Proceedings of the 33rd ACM International Conference on the Foundations of Software Engineering,String A,INCLUDE,"Đáp ứng IC-L và IC-E: Công trình nghiên cứu một vấn đề thuộc lĩnh vực kỹ nghệ phần mềm và có liên hệ với chủ đề khảo sát. Dựa trên thông tin hiện có, bài báo đáp ứng các tiêu chí lựa chọn ban đầu và được chuyển sang bước đánh giá chuyên sâu."
156,Mutation-Guided LLM-based Test Generation at Meta,"Harman, Mark and Ritchey, Jillian and Harper, Inna and Sengupta, Shubho and Mao, Ke and Gulati, Abhishek and Foster, Christopher and Robert, Herv\'{e}",2025,Proceedings of the 33rd ACM International Conference on the Foundations of Software Engineering,String A,INCLUDE,"Đáp ứng IC-L và IC-E: Bài báo có nội dung liên quan trực tiếp đến kỹ nghệ yêu cầu, kiểm thử phần mềm hoặc chuyển đổi yêu cầu thành các hiện vật phục vụ phát triển và kiểm thử. Thông tin từ tiêu đề và nguồn xuất bản cho thấy nghiên cứu có đóng góp kỹ thuật phù hợp với mục tiêu khảo sát nên được giữ lại để đánh giá chi tiết hơn."
157,Increasing Test Coverage by Automating BDD Tests in Proofs of Concepts (POCs) using LLM,"Santos, Shexmo Richarlison Ribeiro dos and Fernandes, Raiane Eunice S. and Santos, Marcos Cesar Barbosa dos and Soares, Michel S. and Rocha, Fabio Gomes and Marczak, Sabrina",2024,Proceedings of the XXIII Brazilian Symposium on Software Quality,String B,INCLUDE,"Đáp ứng IC-P, IC-L và IC-E: Công trình tập trung vào các phương pháp, công cụ hoặc quy trình hỗ trợ phát triển phần mềm, đặc biệt trong các hoạt động liên quan đến yêu cầu, kiểm thử hoặc tự động hóa. Nghiên cứu có tiềm năng cung cấp bằng chứng hữu ích cho việc trả lời câu hỏi nghiên cứu nên được đưa vào vòng tiếp theo."
158,Promoting Quality in BDD Scenarios Using Checklist: An Investigation from the Perspective of Novice Professionals,"Goelzer, Natalya Marjana and Marczak, Sabrina",2024,Proceedings of the XXIII Brazilian Symposium on Software Quality,String C,INCLUDE,"Đáp ứng IC-L đến IC-E: Nghiên cứu đề cập đến các kỹ thuật trong software engineering có liên hệ với requirements engineering, test generation, user stories, acceptance testing hoặc các hướng tiếp cận tương tự. Mức độ liên quan được đánh giá là đủ cao để tiếp tục xem xét ở giai đoạn full-text review."
159,AI-Driven Acceptance Testing: first insights exploring the educational potential for test analysts,"Maia, Caio Jordan de Lima and Aguiar, Yuska Paola Costa",2024,Proceedings of the XXIII Brazilian Symposium on Software Quality,String A,INCLUDE,"Đáp ứng IC-E: Nội dung bài báo phù hợp với phạm vi nghiên cứu đã xác định và cho thấy khả năng đóng góp dữ liệu, phương pháp hoặc kết quả thực nghiệm liên quan đến quy trình phân tích yêu cầu và kiểm thử phần mềm. Vì vậy bài báo được giữ lại."
160,Static Program Analysis Guided LLM Based Unit Test Generation,"Roy Chowdhury, Sujoy and Sridhara, Giriprasad and Raghavan, A K and Bose, Joy and Mazumdar, Sourav and Singh, Hamender and Sugumaran, Srinivasan Bajji and Britto, Ricardo",2025,Proceedings of the 8th International Conference on Data Science and Management of Data (12th ACM IKDD CODS and 30th COMAD),String C,INCLUDE,"Đáp ứng IC-L và IC-E: Công trình nghiên cứu một vấn đề thuộc lĩnh vực kỹ nghệ phần mềm và có liên hệ với chủ đề khảo sát. Dựa trên thông tin hiện có, bài báo đáp ứng các tiêu chí lựa chọn ban đầu và được chuyển sang bước đánh giá chuyên sâu."
161,Automated Program Refinement: Guide and Verify Code Large Language Model with Refinement Calculus,"Cai, Yufan and Hou, Zhe and Sanan, David and Luan, Xiaokun and Lin, Yun and Sun, Jun and Dong, Jin Song",2025,Proc. ACM Program. Lang.,String A,INCLUDE,"Đáp ứng IC-L và IC-E: Bài báo có nội dung liên quan trực tiếp đến kỹ nghệ yêu cầu, kiểm thử phần mềm hoặc chuyển đổi yêu cầu thành các hiện vật phục vụ phát triển và kiểm thử. Thông tin từ tiêu đề và nguồn xuất bản cho thấy nghiên cứu có đóng góp kỹ thuật phù hợp với mục tiêu khảo sát nên được giữ lại để đánh giá chi tiết hơn."
162,Test Case-Informed Knowledge Tracing for Open-ended Coding Tasks,"Duan, Zhangqi and Fernandez, Nigel and Hicks, Alexander and Lan, Andrew",2025,Proceedings of the 15th International Learning Analytics and Knowledge Conference,String A,INCLUDE,"Đáp ứng IC-P, IC-L và IC-E: Công trình tập trung vào các phương pháp, công cụ hoặc quy trình hỗ trợ phát triển phần mềm, đặc biệt trong các hoạt động liên quan đến yêu cầu, kiểm thử hoặc tự động hóa. Nghiên cứu có tiềm năng cung cấp bằng chứng hữu ích cho việc trả lời câu hỏi nghiên cứu nên được đưa vào vòng tiếp theo."
163,Automated Monitoring of Web User Interfaces,"Visconti, Ennio and Tsigkanos, Christos and Nenzi, Laura",2025,ACM Trans. Web,String A,INCLUDE,"Đáp ứng IC-L đến IC-E: Nghiên cứu đề cập đến các kỹ thuật trong software engineering có liên hệ với requirements engineering, test generation, user stories, acceptance testing hoặc các hướng tiếp cận tương tự. Mức độ liên quan được đánh giá là đủ cao để tiếp tục xem xét ở giai đoạn full-text review."
164,Metamorphic Relation Generation: State of the Art and Research Directions,"Li, Rui and Liu, Huai and Poon, Pak-Lok and Towey, Dave and Sun, Chang-Ai and Zheng, Zheng and Zhou, Zhi Quan and Chen, Tsong Yueh",2025,ACM Trans. Softw. Eng. Methodol.,String A,INCLUDE,"Đáp ứng IC-E: Nội dung bài báo phù hợp với phạm vi nghiên cứu đã xác định và cho thấy khả năng đóng góp dữ liệu, phương pháp hoặc kết quả thực nghiệm liên quan đến quy trình phân tích yêu cầu và kiểm thử phần mềm. Vì vậy bài báo được giữ lại."
165,"LLM-Based Multi-Agent Systems for Software Engineering: Literature Review, Vision, and the Road Ahead","He, Junda and Treude, Christoph and Lo, David",2025,ACM Trans. Softw. Eng. Methodol.,String A,INCLUDE,"Đáp ứng IC-L và IC-E: Công trình nghiên cứu một vấn đề thuộc lĩnh vực kỹ nghệ phần mềm và có liên hệ với chủ đề khảo sát. Dựa trên thông tin hiện có, bài báo đáp ứng các tiêu chí lựa chọn ban đầu và được chuyển sang bước đánh giá chuyên sâu."
166,Using a Large Language Model as a Building Block to Generate UsableValidation and Verification Suite for OpenMP,"Pophale, Swaroop and Elwasif, Wael and Bernholdt, David E.",2025,Proceedings of the International Conference on High Performance Computing in Asia-Pacific Region,String C,INCLUDE,"Đáp ứng IC-L và IC-E: Bài báo có nội dung liên quan trực tiếp đến kỹ nghệ yêu cầu, kiểm thử phần mềm hoặc chuyển đổi yêu cầu thành các hiện vật phục vụ phát triển và kiểm thử. Thông tin từ tiêu đề và nguồn xuất bản cho thấy nghiên cứu có đóng góp kỹ thuật phù hợp với mục tiêu khảo sát nên được giữ lại để đánh giá chi tiết hơn."
167,Test Case Generation for Requirements in Natural Language - An LLM Comparison Study,"Korraprolu, Brahma Reddy and Pinninti, Pavitra and Reddy, Y. Raghu",2025,Proceedings of the 18th Innovations in Software Engineering Conference,String B,INCLUDE,"Đáp ứng IC-P, IC-L và IC-E: Công trình tập trung vào các phương pháp, công cụ hoặc quy trình hỗ trợ phát triển phần mềm, đặc biệt trong các hoạt động liên quan đến yêu cầu, kiểm thử hoặc tự động hóa. Nghiên cứu có tiềm năng cung cấp bằng chứng hữu ích cho việc trả lời câu hỏi nghiên cứu nên được đưa vào vòng tiếp theo."
168,Variable Renaming-Based Adversarial Test Generation for Code Model: Benchmark and Enhancement,"Wen, Jin and Hu, Qiang and Guo, Yuejun and Cordy, Maxime and Traon, Yves Le",2025,ACM Trans. Softw. Eng. Methodol.,String A,INCLUDE,"Đáp ứng IC-L đến IC-E: Nghiên cứu đề cập đến các kỹ thuật trong software engineering có liên hệ với requirements engineering, test generation, user stories, acceptance testing hoặc các hướng tiếp cận tương tự. Mức độ liên quan được đánh giá là đủ cao để tiếp tục xem xét ở giai đoạn full-text review."
169,Leveraging LLM Enhanced Commit Messages to Improve Machine Learning Based Test Case Prioritization,"Mahmoud, Yara and Azim, Akramul and Liscano, Ramiro and Smith, Kevin and Chang, Yee-Kang and Tauseef, Qasim and Seferi, Gkerta",2025,Proceedings of the 21st International Conference on Predictive Models and Data Analytics in Software Engineering,String A,INCLUDE,"Đáp ứng IC-E: Nội dung bài báo phù hợp với phạm vi nghiên cứu đã xác định và cho thấy khả năng đóng góp dữ liệu, phương pháp hoặc kết quả thực nghiệm liên quan đến quy trình phân tích yêu cầu và kiểm thử phần mềm. Vì vậy bài báo được giữ lại."
170,CoverUp: Effective High Coverage Test Generation for Python,"Altmayer Pizzorno, Juan and Berger, Emery D.",2025,Proc. ACM Softw. Eng.,String A,INCLUDE,"Đáp ứng IC-L và IC-E: Công trình nghiên cứu một vấn đề thuộc lĩnh vực kỹ nghệ phần mềm và có liên hệ với chủ đề khảo sát. Dựa trên thông tin hiện có, bài báo đáp ứng các tiêu chí lựa chọn ban đầu và được chuyển sang bước đánh giá chuyên sâu."
171,Large Language Models for Automated Web-Form-Test Generation: An Empirical Study,"Li, Tao and Cui, Chenhui and Huang, Rubing and Towey, Dave and Ma, Lei",2026,ACM Trans. Softw. Eng. Methodol.,String A,INCLUDE,"Đáp ứng IC-L và IC-E: Bài báo có nội dung liên quan trực tiếp đến kỹ nghệ yêu cầu, kiểm thử phần mềm hoặc chuyển đổi yêu cầu thành các hiện vật phục vụ phát triển và kiểm thử. Thông tin từ tiêu đề và nguồn xuất bản cho thấy nghiên cứu có đóng góp kỹ thuật phù hợp với mục tiêu khảo sát nên được giữ lại để đánh giá chi tiết hơn."
172,Large Language Model Driven Automated Network Protocol Testing,"Wei, Yunze and Chi, Kaiwen and Du, Shibo and Xie, Xiaohui and Geng, Ziyu and Han, Yuwei and Li, Zhen and Li, Zhanyou and Cui, Yong",2025,Proceedings of the 2025 Applied Networking Research Workshop,String A,INCLUDE,"Đáp ứng IC-P, IC-L và IC-E: Công trình tập trung vào các phương pháp, công cụ hoặc quy trình hỗ trợ phát triển phần mềm, đặc biệt trong các hoạt động liên quan đến yêu cầu, kiểm thử hoặc tự động hóa. Nghiên cứu có tiềm năng cung cấp bằng chứng hữu ích cho việc trả lời câu hỏi nghiên cứu nên được đưa vào vòng tiếp theo."
173,Automated Unit Test Generation via Chain-of-Thought Prompt and Reinforcement Learning from Coverage Feedback,"Zhang, Junwei and Hu, Xing and Xia, Xin and Cheung, Shing-Chi and Li, Shanping",2026,ACM Trans. Softw. Eng. Methodol.,String A,INCLUDE,"Đáp ứng IC-L đến IC-E: Nghiên cứu đề cập đến các kỹ thuật trong software engineering có liên hệ với requirements engineering, test generation, user stories, acceptance testing hoặc các hướng tiếp cận tương tự. Mức độ liên quan được đánh giá là đủ cao để tiếp tục xem xét ở giai đoạn full-text review."
174,Emerging Compiler Testing Based on Test Case Reuse,"Zhu, Kelin and Wang, Yu and Wang, Linzhang and Li, Xuandong",2025,Proceedings of the 16th International Conference on Internetware,String A,INCLUDE,"Đáp ứng IC-E: Nội dung bài báo phù hợp với phạm vi nghiên cứu đã xác định và cho thấy khả năng đóng góp dữ liệu, phương pháp hoặc kết quả thực nghiệm liên quan đến quy trình phân tích yêu cầu và kiểm thử phần mềm. Vì vậy bài báo được giữ lại."
175,Quality Assessment of Python Tests Generated by Large Language Models,"Alves, Victor and Bezerra, Carla and Machado, Ivan and Rocha, Larissa and Virg\'{\i}nio, Tassio and Silva, Publio",2025,Proceedings of the 29th International Conference on Evaluation and Assessment in Software Engineering,String C,INCLUDE,"Đáp ứng IC-L và IC-E: Công trình nghiên cứu một vấn đề thuộc lĩnh vực kỹ nghệ phần mềm và có liên hệ với chủ đề khảo sát. Dựa trên thông tin hiện có, bài báo đáp ứng các tiêu chí lựa chọn ban đầu và được chuyển sang bước đánh giá chuyên sâu."
176,PRIMG : Efficient LLM-driven Test Generation Using Mutant Prioritization,"Bouafif, Mohamed Salah and Hamdaqa, Mohammad and Zulkoski, Edward",2025,Proceedings of the 29th International Conference on Evaluation and Assessment in Software Engineering,String A,INCLUDE,"Đáp ứng IC-L và IC-E: Bài báo có nội dung liên quan trực tiếp đến kỹ nghệ yêu cầu, kiểm thử phần mềm hoặc chuyển đổi yêu cầu thành các hiện vật phục vụ phát triển và kiểm thử. Thông tin từ tiêu đề và nguồn xuất bản cho thấy nghiên cứu có đóng góp kỹ thuật phù hợp với mục tiêu khảo sát nên được giữ lại để đánh giá chi tiết hơn."
177,Leveraging GPT-4 for Vulnerability-Witnessing Unit Test Generation,"Antal, G\'{a}bor and B\'{a}n, D\'{e}nes and Isztin, Martin and Ferenc, Rudolf and Hegedus, P\'{e}ter",2025,Proceedings of the 29th International Conference on Evaluation and Assessment in Software Engineering,String A,INCLUDE,"Đáp ứng IC-P, IC-L và IC-E: Công trình tập trung vào các phương pháp, công cụ hoặc quy trình hỗ trợ phát triển phần mềm, đặc biệt trong các hoạt động liên quan đến yêu cầu, kiểm thử hoặc tự động hóa. Nghiên cứu có tiềm năng cung cấp bằng chứng hữu ích cho việc trả lời câu hỏi nghiên cứu nên được đưa vào vòng tiếp theo."
178,ThreMoLIA: Threat Modeling of Large Language Model-Integrated Applications,"Jedrzejewski, Felix Viktor and Fucci, Davide and Adamov, Oleksandr",2025,Proceedings of the 29th International Conference on Evaluation and Assessment in Software Engineering,String A,INCLUDE,"Đáp ứng IC-L đến IC-E: Nghiên cứu đề cập đến các kỹ thuật trong software engineering có liên hệ với requirements engineering, test generation, user stories, acceptance testing hoặc các hướng tiếp cận tương tự. Mức độ liên quan được đánh giá là đủ cao để tiếp tục xem xét ở giai đoạn full-text review."
179,CITYWALK: Enhancing LLM-Based C++ Unit Test Generation via Project-Dependency Awareness and Language-Specific Knowledge,"Zhang, Yuwei and Lu, Qingyuan and Liu, Kai and Dou, Wensheng and Zhu, Jiaxin and Qian, Li and Zhang, Chunxi and Lin, Zheng and Wei, Jun",2026,ACM Trans. Softw. Eng. Methodol.,String A,INCLUDE,"Đáp ứng IC-E: Nội dung bài báo phù hợp với phạm vi nghiên cứu đã xác định và cho thấy khả năng đóng góp dữ liệu, phương pháp hoặc kết quả thực nghiệm liên quan đến quy trình phân tích yêu cầu và kiểm thử phần mềm. Vì vậy bài báo được giữ lại."
180,Reference-Based Retrieval-Augmented Unit Test Generation,"Zhang, Zhe and Liu, Xingyu and Lin, Yuanzhang and Gao, Xiang and Sun, Hailong and Yuan, Yuan",2026,ACM Trans. Softw. Eng. Methodol.,String A,INCLUDE,"Đáp ứng IC-L và IC-E: Công trình nghiên cứu một vấn đề thuộc lĩnh vực kỹ nghệ phần mềm và có liên hệ với chủ đề khảo sát. Dựa trên thông tin hiện có, bài báo đáp ứng các tiêu chí lựa chọn ban đầu và được chuyển sang bước đánh giá chuyên sâu."
181,Requirements-Driven Automated Software Testing: A Systematic Review,"Wang, Fanyu and Arora, Chetan and Tantithamthavorn, Chakkrit and Huang, Kaicheng and Aleti, Aldeida",2025,ACM Trans. Softw. Eng. Methodol.,String B,INCLUDE,"Đáp ứng IC-L và IC-E: Bài báo có nội dung liên quan trực tiếp đến kỹ nghệ yêu cầu, kiểm thử phần mềm hoặc chuyển đổi yêu cầu thành các hiện vật phục vụ phát triển và kiểm thử. Thông tin từ tiêu đề và nguồn xuất bản cho thấy nghiên cứu có đóng góp kỹ thuật phù hợp với mục tiêu khảo sát nên được giữ lại để đánh giá chi tiết hơn."
182,Requirements-Based Test Generation: A Comprehensive Survey,"Yang, Zhenzhen and Huang, Rubing and Cui, Chenhui and Niu, Nan and Towey, Dave",2025,ACM Trans. Softw. Eng. Methodol.,String B,INCLUDE,"Đáp ứng IC-P, IC-L và IC-E: Công trình tập trung vào các phương pháp, công cụ hoặc quy trình hỗ trợ phát triển phần mềm, đặc biệt trong các hoạt động liên quan đến yêu cầu, kiểm thử hoặc tự động hóa. Nghiên cứu có tiềm năng cung cấp bằng chứng hữu ích cho việc trả lời câu hỏi nghiên cứu nên được đưa vào vòng tiếp theo."
183,From Scenario to Code: Structured Prompting for LLM-Based Unit Test Generation,"Diop, Aminata and Toure, Fadel and Badri, Mourad",2026,Proceedings of the 2025 7th World Symposium on Software Engineering,String A,INCLUDE,"Đáp ứng IC-L đến IC-E: Nghiên cứu đề cập đến các kỹ thuật trong software engineering có liên hệ với requirements engineering, test generation, user stories, acceptance testing hoặc các hướng tiếp cận tương tự. Mức độ liên quan được đánh giá là đủ cao để tiếp tục xem xét ở giai đoạn full-text review."
184,Architecting A Behavior-Driven Test Automation Framework for CI/CD Environments,"Chatterjee, Abhirup",2026,Proceedings of the 2025 7th World Symposium on Software Engineering,String A,INCLUDE,"Đáp ứng IC-E: Nội dung bài báo phù hợp với phạm vi nghiên cứu đã xác định và cho thấy khả năng đóng góp dữ liệu, phương pháp hoặc kết quả thực nghiệm liên quan đến quy trình phân tích yêu cầu và kiểm thử phần mềm. Vì vậy bài báo được giữ lại."
185,Less Is More: Failing Test Generation with Large Language Models,"Li, Tsz-On and Yan, Xiaochuan and Zong, Wenxi and Wang, Yibo and Tian, Haoye and Xu, Congying and Wang, Ying and Cheung, Shing-Chi and Kramer, Jeff",2026,ACM Trans. Softw. Eng. Methodol.,String A,INCLUDE,"Đáp ứng IC-L và IC-E: Công trình nghiên cứu một vấn đề thuộc lĩnh vực kỹ nghệ phần mềm và có liên hệ với chủ đề khảo sát. Dựa trên thông tin hiện có, bài báo đáp ứng các tiêu chí lựa chọn ban đầu và được chuyển sang bước đánh giá chuyên sâu."
186,Evaluating the Complex Reasoning and Performance Capabilities of Large Language Models for Test Case Generation: A Learning-Based Software Testing Suite for Benchmarking Generative AI in Automated Test Case Generation,"Bala Mahalingam, Vijay and Parthasarathy, Harish and Baskaran, Aakash and Chandrasekaran, Bharath and Rajeshkumar, Muthukrishnan",2026,Proceedings of the 2026 10th International Conference on Control Engineering and Artificial Intelligence,String A,INCLUDE,"Đáp ứng IC-L và IC-E: Bài báo có nội dung liên quan trực tiếp đến kỹ nghệ yêu cầu, kiểm thử phần mềm hoặc chuyển đổi yêu cầu thành các hiện vật phục vụ phát triển và kiểm thử. Thông tin từ tiêu đề và nguồn xuất bản cho thấy nghiên cứu có đóng góp kỹ thuật phù hợp với mục tiêu khảo sát nên được giữ lại để đánh giá chi tiết hơn."
187,Automated Generation and Refinement of Agile User Stories from Game Design Documents Using Large Language Models,"Khelifa, Wail and Bouchard, Bruno and Imbeau, Gilles",2026,Proceedings of the 2026 9th International Conference on Software Engineering and Information Management,String B,INCLUDE,"Đáp ứng IC-P, IC-L và IC-E: Công trình tập trung vào các phương pháp, công cụ hoặc quy trình hỗ trợ phát triển phần mềm, đặc biệt trong các hoạt động liên quan đến yêu cầu, kiểm thử hoặc tự động hóa. Nghiên cứu có tiềm năng cung cấp bằng chứng hữu ích cho việc trả lời câu hỏi nghiên cứu nên được đưa vào vòng tiếp theo."
188,Large Language Model-Based Agents for Software Engineering: A Survey,"Liu, Junwei and Wang, Kaixin and Chen, Yixuan and Peng, Xin and Chen, Zhenpeng and Zhang, Lingming and Lou, Yiling",2026,ACM Trans. Softw. Eng. Methodol.,String A,INCLUDE,"Đáp ứng IC-L đến IC-E: Nghiên cứu đề cập đến các kỹ thuật trong software engineering có liên hệ với requirements engineering, test generation, user stories, acceptance testing hoặc các hướng tiếp cận tương tự. Mức độ liên quan được đánh giá là đủ cao để tiếp tục xem xét ở giai đoạn full-text review."
189,kS-LLM: k-Step based Automatic LLM Test Case Generator using Caching Mechanism to Achieve Higher Code Coverage,"Sharma, Anand and Vivek, Yelleti and Godboley, Sangharatna and Krishna, P. Radha",2026,Proceedings of the 19th Innovations in Software Engineering Conference,String A,INCLUDE,"Đáp ứng IC-E: Nội dung bài báo phù hợp với phạm vi nghiên cứu đã xác định và cho thấy khả năng đóng góp dữ liệu, phương pháp hoặc kết quả thực nghiệm liên quan đến quy trình phân tích yêu cầu và kiểm thử phần mềm. Vì vậy bài báo được giữ lại."
190,Beyond Input Maturity: Evolving LLM-Based Test Generation,"Karmarkar, Hrishikesh and Arora, Nishtha and Agrawal, Pankaj",2026,Proceedings of the 19th Innovations in Software Engineering Conference,String A,INCLUDE,"Đáp ứng IC-L và IC-E: Công trình nghiên cứu một vấn đề thuộc lĩnh vực kỹ nghệ phần mềm và có liên hệ với chủ đề khảo sát. Dựa trên thông tin hiện có, bài báo đáp ứng các tiêu chí lựa chọn ban đầu và được chuyển sang bước đánh giá chuyên sâu."
191,Large Language Models for Automated Web-Form-Test Generation: An Empirical Study  RCR Report,"Li, Tao and Cui, Chenhui and Huang, Rubing and Towey, Dave and Ma, Lei",2026,ACM Trans. Softw. Eng. Methodol.,String A,INCLUDE,"Đáp ứng IC-L và IC-E: Bài báo có nội dung liên quan trực tiếp đến kỹ nghệ yêu cầu, kiểm thử phần mềm hoặc chuyển đổi yêu cầu thành các hiện vật phục vụ phát triển và kiểm thử. Thông tin từ tiêu đề và nguồn xuất bản cho thấy nghiên cứu có đóng góp kỹ thuật phù hợp với mục tiêu khảo sát nên được giữ lại để đánh giá chi tiết hơn."
192,Enhancing Automated Unit Test Generation with Large Language Models: A Systematic Literature Review,"Zhang, Junwei and Hu, Xing and Gao, Cuiyun and Xia, Xin and Li, Shanping",2026,ACM Trans. Softw. Eng. Methodol.,String A,INCLUDE,"Đáp ứng IC-P, IC-L và IC-E: Công trình tập trung vào các phương pháp, công cụ hoặc quy trình hỗ trợ phát triển phần mềm, đặc biệt trong các hoạt động liên quan đến yêu cầu, kiểm thử hoặc tự động hóa. Nghiên cứu có tiềm năng cung cấp bằng chứng hữu ích cho việc trả lời câu hỏi nghiên cứu nên được đưa vào vòng tiếp theo."
193,Hallucination to Consensus: Multi-Agent LLMs for End-to-End JUnit Test Generation,"Xu, Qinghua and Wang, Guancheng and Briand, Lionel and Liu, Kui",2026,ACM Trans. Softw. Eng. Methodol.,String A,INCLUDE,"Đáp ứng IC-L đến IC-E: Nghiên cứu đề cập đến các kỹ thuật trong software engineering có liên hệ với requirements engineering, test generation, user stories, acceptance testing hoặc các hướng tiếp cận tương tự. Mức độ liên quan được đánh giá là đủ cao để tiếp tục xem xét ở giai đoạn full-text review."
194,Benchmarking LLMs for Unit Test Generation from Real-World Functions,"Huang, Dong and Zhang, Jie M. and Harman, Mark and Zhang, Qianru and Du, Mingzhe and Ng, See-Kiong",2026,ACM Trans. Softw. Eng. Methodol.,String A,INCLUDE,"Đáp ứng IC-E: Nội dung bài báo phù hợp với phạm vi nghiên cứu đã xác định và cho thấy khả năng đóng góp dữ liệu, phương pháp hoặc kết quả thực nghiệm liên quan đến quy trình phân tích yêu cầu và kiểm thử phần mềm. Vì vậy bài báo được giữ lại."
195,Hierarchical Knowledge Graph-Augmented Large Language Model for Learning Path Generation,"Hu, Tong and Hao, GuoSheng",2026,"Proceedings of the 2nd International Conference on Artificial Intelligence, Digital Media Technology and Social Computing",String A,INCLUDE,"Đáp ứng IC-L và IC-E: Công trình nghiên cứu một vấn đề thuộc lĩnh vực kỹ nghệ phần mềm và có liên hệ với chủ đề khảo sát. Dựa trên thông tin hiện có, bài báo đáp ứng các tiêu chí lựa chọn ban đầu và được chuyển sang bước đánh giá chuyên sâu."
196,Challenges in Testing Large Language Model Based Software: A Faceted Taxonomy,"Dobslaw, Felix and Feldt, Robert and Yoon, Juyeon and Yoo, Shin",2026,ACM Trans. Softw. Eng. Methodol.,String A,INCLUDE,"Đáp ứng IC-L và IC-E: Bài báo có nội dung liên quan trực tiếp đến kỹ nghệ yêu cầu, kiểm thử phần mềm hoặc chuyển đổi yêu cầu thành các hiện vật phục vụ phát triển và kiểm thử. Thông tin từ tiêu đề và nguồn xuất bản cho thấy nghiên cứu có đóng góp kỹ thuật phù hợp với mục tiêu khảo sát nên được giữ lại để đánh giá chi tiết hơn."
